date,theta1,theta2,OT
383,0.013356607,0.751758647,0.751758647
384,-0.022128324,0.713546114,0.713546114
385,-0.056147521,0.672759815,0.672759815
386,-0.088608812,0.629429332,0.629429332
387,-0.119418929,0.583584595,0.583584595
388,-0.14848492,0.535254997,0.535254997
389,-0.17571583,0.48446877,0.48446877
390,-0.20102476,0.431252773,0.431252773
391,-0.224331444,0.37563298,0.37563298
392,-0.245565547,0.317635981,0.317635981
393,-0.264670988,0.257291978,0.257291978
394,-0.281611637,0.194639822,0.194639822
395,-0.296378758,0.129734701,0.129734701
396,-0.309000503,0.062658998,0.062658998
397,-0.319553386,-0.0064636,-0.0064636
398,-0.328174933,-0.077451605,-0.077451605
399,-0.33507543,-0.150049386,-0.150049386
400,-0.340545089,-0.223915696,-0.223915696
401,-0.344951808,-0.298623375,-0.298623375
402,-0.348725362,-0.373675825,-0.373675825
403,-0.352327483,-0.448541195,-0.448541195
404,-0.35621305,-0.522697771,-0.522697771
405,-0.360792108,-0.595678209,-0.595678209
406,-0.366402306,-0.667100531,-0.667100531
407,-0.37329648,-0.736680212,-0.736680212
408,-0.381644131,-0.804225367,-0.804225367
409,-0.391541921,-0.869621557,-0.869621557
410,-0.403027935,-0.932812955,-0.932812955
411,-0.416095916,-0.993784544,-0.993784544
412,-0.430707525,-1.052547564,-1.052547564
413,-0.446802044,-1.109128711,-1.109128711
414,-0.464303639,-1.163562694,-1.163562694
415,-0.483126647,-1.215887448,-1.215887448
416,-0.503179341,-1.266141272,-1.266141272
417,-0.524366604,-1.314361328,-1.314361328
418,-0.546591832,-1.360583016,-1.360583016
419,-0.569758307,-1.404839912,-1.404839912
420,-0.593770189,-1.447164045,-1.447164045
421,-0.618533269,-1.487586352,-1.487586352
422,-0.643955529,-1.526137199,-1.526137199
423,-0.669947574,-1.562846925,-1.562846925
424,-0.696422967,-1.597746338,-1.597746338
425,-0.723298478,-1.630867158,-1.630867158
426,-0.75049427,-1.662242389,-1.662242389
427,-0.777934026,-1.691906606,-1.691906606
428,-0.80554502,-1.719896169,-1.719896169
429,-0.833258149,-1.746249361,-1.746249361
430,-0.861007914,-1.771006455,-1.771006455
431,-0.888732368,-1.794209723,-1.794209723
432,-0.916373024,-1.815903393,-1.815903393
433,-0.943874745,-1.836133555,-1.836133555
434,-0.971185596,-1.85494804,-1.85494804
435,-0.998256689,-1.872396265,-1.872396265
436,-1.025042004,-1.888529056,-1.888529056
437,-1.051498209,-1.903398457,-1.903398457
438,-1.077584468,-1.917057529,-1.917057529
439,-1.103262249,-1.929560144,-1.929560144
440,-1.128495144,-1.940960772,-1.940960772
441,-1.153248681,-1.951314269,-1.951314269
442,-1.177490164,-1.960675673,-1.960675673
443,-1.201188505,-1.969099993,-1.969099993
444,-1.224314091,-1.97664201,-1.97664201
445,-1.246838653,-1.983356077,-1.983356077
446,-1.268735158,-1.989295928,-1.989295928
447,-1.289977719,-1.994514487,-1.994514487
448,-1.310541521,-1.999063691,-1.999063691
449,-1.330402766,-2.002994306,-2.002994306
450,-1.349538634,-2.006355764,-2.006355764
451,-1.367927254,-2.009195998,-2.009195998
452,-1.3855477,-2.01156129,-2.01156129
453,-1.402379983,-2.013496128,-2.013496128
454,-1.418405062,-2.015043075,-2.015043075
455,-1.433604861,-2.01624265,-2.01624265
456,-1.44796228,-2.017133231,-2.017133231
457,-1.461461224,-2.017750957,-2.017750957
458,-1.474086614,-2.018129669,-2.018129669
459,-1.48582441,-2.018300848,-2.018300848
460,-1.496661624,-2.018293581,-2.018293581
461,-1.506586325,-2.018134542,-2.018134542
462,-1.515587651,-2.017847985,-2.017847985
463,-1.523655804,-2.017455753,-2.017455753
464,-1.530782043,-2.016977299,-2.016977299
465,-1.536958683,-2.016429712,-2.016429712
466,-1.542179073,-2.015827754,-2.015827754
467,-1.546437591,-2.015183897,-2.015183897
468,-1.549729623,-2.014508364,-2.014508364
469,-1.552051553,-2.013809162,-2.013809162
470,-1.553400752,-2.013092119,-2.013092119
471,-1.553775563,-2.012360905,-2.012360905
472,-1.553175303,-2.011617048,-2.011617048
473,-1.551600255,-2.010859947,-2.010859947
474,-1.549051678,-2.010086866,-2.010086866
475,-1.545531809,-2.009292918,-2.009292918
476,-1.54104388,-2.00847105,-2.00847105
477,-1.535592131,-2.007612008,-2.007612008
478,-1.529181829,-2.006704301,-2.006704301
479,-1.52181929,-2.005734162,-2.005734162
480,-1.513511898,-2.004685502,-2.004685502
481,-1.504268128,-2.003539874,-2.003539874
482,-1.494097558,-2.002276431,-2.002276431
483,-1.483010892,-2.000871897,-2.000871897
484,-1.471019961,-1.999300551,-1.999300551
485,-1.458137736,-1.997534214,-1.997534214
486,-1.444378323,-1.995542261,-1.995542261
487,-1.429756957,-1.993291642,-1.993291642
488,-1.414289995,-1.99074693,-1.99074693
489,-1.397994896,-1.987870374,-1.987870374
490,-1.380890206,-1.984621986,-1.984621986
491,-1.362995541,-1.980959633,-1.980959633
492,-1.344331566,-1.976839155,-1.976839155
493,-1.324919981,-1.972214493,-1.972214493
494,-1.304783519,-1.967037834,-1.967037834
495,-1.283945939,-1.961259765,-1.961259765
496,-1.262432042,-1.954829443,-1.954829443
497,-1.240267692,-1.947694765,-1.947694765
498,-1.217479861,-1.939802552,-1.939802552
499,-1.194096678,-1.931098736,-1.931098736
500,-1.170147504,-1.921528548,-1.921528548
501,-1.145663024,-1.911036713,-1.911036713
502,-1.120675353,-1.899567647,-1.899567647
503,-1.09521816,-1.887065655,-1.887065655
504,-1.069326812,-1.873475125,-1.873475125
505,-1.043038524,-1.858740736,-1.858740736
506,-1.01639253,-1.842807647,-1.842807647
507,-0.989430251,-1.825621698,-1.825621698
508,-0.962195481,-1.8071296,-1.8071296
509,-0.934734564,-1.787279121,-1.787279121
510,-0.907096573,-1.766019259,-1.766019259
511,-0.879333483,-1.743300407,-1.743300407
512,-0.851500323,-1.719074493,-1.719074493
513,-0.823655317,-1.693295103,-1.693295103
514,-0.795859996,-1.665917574,-1.665917574
515,-0.768179286,-1.636899048,-1.636899048
516,-0.740681546,-1.606198488,-1.606198488
517,-0.713438574,-1.573776653,-1.573776653
518,-0.686525558,-1.539596013,-1.539596013
519,-0.660020961,-1.503620619,-1.503620619
520,-0.634006341,-1.46581592,-1.46581592
521,-0.608566093,-1.426148531,-1.426148531
522,-0.583787079,-1.384585978,-1.384585978
523,-0.559758152,-1.341096425,-1.341096425
524,-0.536569518,-1.29564844,-1.29564844
525,-0.514311909,-1.24821084,-1.24821084
526,-0.493075496,-1.198752729,-1.198752729
527,-0.472948453,-1.147243824,-1.147243824
528,-0.454015056,-1.09365527,-1.09365527
529,-0.436353138,-1.037961187,-1.037961187
530,-0.420030683,-0.980141259,-0.980141259
531,-0.405101296,-0.92018479,-0.92018479
532,-0.391598227,-0.858096675,-0.858096675
533,-0.379526708,-0.793905742,-0.793905742
534,-0.368854511,-0.727675698,-0.727675698
535,-0.359501063,-0.659518399,-0.659518399
536,-0.351326261,-0.589608153,-0.589608153
537,-0.34412121,-0.518194313,-0.518194313
538,-0.337604295,-0.445607842,-0.445607842
539,-0.331426421,-0.372256911,-0.372256911
540,-0.325187918,-0.298608193,-0.298608193
541,-0.318466232,-0.22515492,-0.22515492
542,-0.310849149,-0.152378344,-0.152378344
543,-0.301965669,-0.080712547,-0.080712547
544,-0.291507687,-0.010521096,-0.010521096
545,-0.279239573,0.057911204,0.057911204
546,-0.264997046,0.124373682,0.124373682
547,-0.248679083,0.188717376,0.188717376
548,-0.230236814,0.250839926,0.250839926
549,-0.209662211,0.310671282,0.310671282
550,-0.186978108,0.368161976,0.368161976
551,-0.162230078,0.423274416,0.423274416
552,-0.135480093,0.475976956,0.475976956
553,-0.10680171,0.526240223,0.526240223
554,-0.07627642,0.57403515,0.57403515
555,-0.04399085,0.619332232,0.619332232
556,-0.010034593,0.662101614,0.662101614
557,0.025501519,0.702313732,0.702313732
558,0.062526805,0.739940302,0.739940302
559,0.100951859,0.77495551,0.77495551
560,0.140689429,0.807337319,0.807337319
561,0.181655063,0.837068843,0.837068843
562,0.223767506,0.864139777,0.864139777
563,0.266948811,0.888547902,0.888547902
564,0.311124125,0.910300701,0.910300701
565,0.356221102,0.929417157,0.929417157
566,0.402168885,0.945929805,0.945929805
567,0.448896608,0.959887128,0.959887128
568,0.496331375,0.971356348,0.971356348
569,0.544395733,0.980426633,0.980426633
570,0.593004678,0.98721264,0.98721264
571,0.642062389,0.991858155,0.991858155
572,0.691458997,0.994539379,0.994539379
573,0.741067894,0.995467159,0.995467159
574,0.790744238,0.994887235,0.994887235
575,0.840325392,0.993077482,0.993077482
576,0.889633863,0.990341393,0.990341393
577,0.938482936,0.98699761,0.98699761
578,0.986684546,0.983366283,0.983366283
579,1.034058256,0.97975401,0.97975401
580,1.080439824,0.976439646,0.976439646
581,1.125687914,0.973663196,0.973663196
582,1.16968803,0.971619144,0.971619144
583,1.212353487,0.970454507,0.970454507
584,1.253623902,0.970270886,0.970270886
585,1.293462014,0.971129279,0.971129279
586,1.331849683,0.97305633,0.97305633
587,1.368783788,0.976050933,0.976050933
588,1.40427244,0.980090458,0.980090458
589,1.438331777,0.985136215,0.985136215
590,1.470983374,0.991138004,0.991138004
591,1.502252257,0.998037766,0.998037766
592,1.532165436,1.005772447,1.005772447
593,1.560750846,1.014276184,1.014276184
594,1.588036618,1.023481958,1.023481958
595,1.614050593,1.033322825,1.033322825
596,1.638820009,1.043732812,1.043732812
597,1.662371317,1.054647579,1.054647579
598,1.684730071,1.066004883,1.066004883
599,1.705920893,1.077744911,1.077744911
600,1.725967452,1.089810501,1.089810501
