date,X,Y,Z,OT
180,-4.57E+00,-3.89E+00,2.38E+01,2.38E+01
181,-4.44E+00,-4.19E+00,2.29E+01,2.29E+01
182,-4.39E+00,-4.56E+00,2.21E+01,2.21E+01
183,-4.42E+00,-4.99E+00,2.13E+01,2.13E+01
184,-4.54E+00,-5.48E+00,2.06E+01,2.06E+01
185,-4.72E+00,-6.04E+00,2.00E+01,2.00E+01
186,-4.99E+00,-6.68E+00,1.95E+01,1.95E+01
187,-5.33E+00,-7.39E+00,1.91E+01,1.91E+01
188,-5.74E+00,-8.19E+00,1.89E+01,1.89E+01
189,-6.23E+00,-9.07E+00,1.88E+01,1.88E+01
190,-6.80E+00,-1.00E+01,1.90E+01,1.90E+01
191,-7.44E+00,-1.11E+01,1.93E+01,1.93E+01
192,-8.16E+00,-1.21E+01,1.99E+01,1.99E+01
193,-8.96E+00,-1.32E+01,2.08E+01,2.08E+01
194,-9.81E+00,-1.42E+01,2.21E+01,2.21E+01
195,-1.07E+01,-1.51E+01,2.37E+01,2.37E+01
196,-1.16E+01,-1.57E+01,2.57E+01,2.57E+01
197,-1.24E+01,-1.59E+01,2.79E+01,2.79E+01
198,-1.31E+01,-1.56E+01,3.04E+01,3.04E+01
199,-1.36E+01,-1.47E+01,3.29E+01,3.29E+01
200,-1.38E+01,-1.31E+01,3.51E+01,3.51E+01
201,-1.37E+01,-1.08E+01,3.69E+01,3.69E+01
202,-1.31E+01,-8.20E+00,3.79E+01,3.79E+01
203,-1.21E+01,-5.45E+00,3.80E+01,3.80E+01
204,-1.08E+01,-2.92E+00,3.73E+01,3.73E+01
205,-9.22E+00,-8.57E-01,3.59E+01,3.59E+01
206,-7.55E+00,6.22E-01,3.42E+01,3.42E+01
207,-5.91E+00,1.54E+00,3.23E+01,3.23E+01
208,-4.42E+00,2.01E+00,3.04E+01,3.04E+01
209,-3.13E+00,2.18E+00,2.86E+01,2.86E+01
210,-2.07E+00,2.17E+00,2.69E+01,2.69E+01
211,-1.22E+00,2.08E+00,2.54E+01,2.54E+01
212,-5.62E-01,1.98E+00,2.40E+01,2.40E+01
213,-5.43E-02,1.89E+00,2.27E+01,2.27E+01
214,3.35E-01,1.85E+00,2.15E+01,2.15E+01
215,6.38E-01,1.85E+00,2.03E+01,2.03E+01
216,8.81E-01,1.92E+00,1.93E+01,1.93E+01
217,1.09E+00,2.03E+00,1.83E+01,1.83E+01
218,1.28E+00,2.20E+00,1.73E+01,1.73E+01
219,1.46E+00,2.43E+00,1.65E+01,1.65E+01
220,1.66E+00,2.72E+00,1.57E+01,1.57E+01
221,1.87E+00,3.07E+00,1.49E+01,1.49E+01
222,2.11E+00,3.50E+00,1.42E+01,1.42E+01
223,2.39E+00,4.01E+00,1.36E+01,1.36E+01
224,2.71E+00,4.62E+00,1.31E+01,1.31E+01
225,3.09E+00,5.33E+00,1.26E+01,1.26E+01
226,3.54E+00,6.18E+00,1.23E+01,1.23E+01
227,4.07E+00,7.17E+00,1.21E+01,1.21E+01
228,4.69E+00,8.32E+00,1.20E+01,1.20E+01
229,5.41E+00,9.65E+00,1.22E+01,1.22E+01
230,6.26E+00,1.12E+01,1.26E+01,1.26E+01
231,7.24E+00,1.29E+01,1.33E+01,1.33E+01
232,8.37E+00,1.48E+01,1.44E+01,1.44E+01
233,9.65E+00,1.67E+01,1.61E+01,1.61E+01
234,1.11E+01,1.87E+01,1.85E+01,1.85E+01
235,1.26E+01,2.04E+01,2.17E+01,2.17E+01
236,1.42E+01,2.16E+01,2.56E+01,2.56E+01
237,1.56E+01,2.18E+01,3.04E+01,3.04E+01
238,1.69E+01,2.07E+01,3.56E+01,3.56E+01
239,1.76E+01,1.77E+01,4.07E+01,4.07E+01
240,1.76E+01,1.29E+01,4.47E+01,4.47E+01
241,1.67E+01,6.69E+00,4.69E+01,4.69E+01
242,1.47E+01,2.52E-01,4.66E+01,4.66E+01
243,1.18E+01,-5.22E+00,4.42E+01,4.42E+01
244,8.40E+00,-8.94E+00,4.06E+01,4.06E+01
245,4.93E+00,-1.09E+01,3.69E+01,3.69E+01
246,1.77E+00,-1.15E+01,3.39E+01,3.39E+01
247,-8.96E-01,-1.15E+01,3.17E+01,3.17E+01
248,-3.02E+00,-1.12E+01,3.02E+01,3.02E+01
249,-4.66E+00,-1.09E+01,2.93E+01,2.93E+01
250,-5.90E+00,-1.05E+01,2.87E+01,2.87E+01
251,-6.83E+00,-1.02E+01,2.84E+01,2.84E+01
252,-7.51E+00,-9.97E+00,2.83E+01,2.83E+01
253,-8.00E+00,-9.72E+00,2.83E+01,2.83E+01
254,-8.35E+00,-9.48E+00,2.84E+01,2.84E+01
255,-8.57E+00,-9.23E+00,2.84E+01,2.84E+01
256,-8.71E+00,-8.98E+00,2.85E+01,2.85E+01
257,-8.76E+00,-8.71E+00,2.85E+01,2.85E+01
258,-8.75E+00,-8.44E+00,2.85E+01,2.85E+01
259,-8.69E+00,-8.18E+00,2.85E+01,2.85E+01
260,-8.59E+00,-7.93E+00,2.84E+01,2.84E+01
261,-8.46E+00,-7.70E+00,2.82E+01,2.82E+01
262,-8.31E+00,-7.51E+00,2.80E+01,2.80E+01
263,-8.15E+00,-7.35E+00,2.78E+01,2.78E+01
264,-7.99E+00,-7.24E+00,2.75E+01,2.75E+01
265,-7.84E+00,-7.17E+00,2.72E+01,2.72E+01
266,-7.70E+00,-7.16E+00,2.69E+01,2.69E+01
267,-7.60E+00,-7.19E+00,2.65E+01,2.65E+01
268,-7.51E+00,-7.27E+00,2.62E+01,2.62E+01
269,-7.46E+00,-7.39E+00,2.59E+01,2.59E+01
270,-7.45E+00,-7.55E+00,2.56E+01,2.56E+01
271,-7.47E+00,-7.75E+00,2.54E+01,2.54E+01
272,-7.53E+00,-7.99E+00,2.52E+01,2.52E+01
273,-7.62E+00,-8.25E+00,2.51E+01,2.51E+01
274,-7.75E+00,-8.54E+00,2.50E+01,2.50E+01
275,-7.90E+00,-8.83E+00,2.50E+01,2.50E+01
276,-8.09E+00,-9.14E+00,2.50E+01,2.50E+01
277,-8.30E+00,-9.44E+00,2.52E+01,2.52E+01
278,-8.53E+00,-9.72E+00,2.54E+01,2.54E+01
279,-8.76E+00,-9.97E+00,2.57E+01,2.57E+01
280,-9.00E+00,-1.02E+01,2.61E+01,2.61E+01
281,-9.24E+00,-1.03E+01,2.65E+01,2.65E+01
282,-9.45E+00,-1.04E+01,2.70E+01,2.70E+01
283,-9.64E+00,-1.04E+01,2.75E+01,2.75E+01
284,-9.78E+00,-1.02E+01,2.81E+01,2.81E+01
285,-9.88E+00,-1.00E+01,2.86E+01,2.86E+01
286,-9.91E+00,-9.72E+00,2.90E+01,2.90E+01
287,-9.87E+00,-9.32E+00,2.94E+01,2.94E+01
288,-9.76E+00,-8.86E+00,2.97E+01,2.97E+01
289,-9.58E+00,-8.35E+00,2.98E+01,2.98E+01
290,-9.33E+00,-7.84E+00,2.98E+01,2.98E+01
291,-9.03E+00,-7.34E+00,2.97E+01,2.97E+01
292,-8.69E+00,-6.89E+00,2.94E+01,2.94E+01
293,-8.33E+00,-6.50E+00,2.91E+01,2.91E+01
294,-7.97E+00,-6.19E+00,2.86E+01,2.86E+01
295,-7.61E+00,-5.97E+00,2.81E+01,2.81E+01
296,-7.28E+00,-5.84E+00,2.75E+01,2.75E+01
297,-6.99E+00,-5.80E+00,2.69E+01,2.69E+01
298,-6.76E+00,-5.84E+00,2.62E+01,2.62E+01
299,-6.57E+00,-5.97E+00,2.56E+01,2.56E+01
300,-6.45E+00,-6.16E+00,2.50E+01,2.50E+01
301,-6.39E+00,-6.42E+00,2.45E+01,2.45E+01
302,-6.40E+00,-6.73E+00,2.40E+01,2.40E+01
303,-6.47E+00,-7.11E+00,2.36E+01,2.36E+01
304,-6.59E+00,-7.54E+00,2.33E+01,2.33E+01
305,-6.78E+00,-8.01E+00,2.30E+01,2.30E+01
306,-7.03E+00,-8.53E+00,2.29E+01,2.29E+01
307,-7.33E+00,-9.08E+00,2.29E+01,2.29E+01
308,-7.68E+00,-9.65E+00,2.30E+01,2.30E+01
309,-8.07E+00,-1.02E+01,2.32E+01,2.32E+01
310,-8.50E+00,-1.08E+01,2.36E+01,2.36E+01
311,-8.96E+00,-1.13E+01,2.42E+01,2.42E+01
312,-9.44E+00,-1.18E+01,2.49E+01,2.49E+01
313,-9.90E+00,-1.21E+01,2.58E+01,2.58E+01
314,-1.03E+01,-1.23E+01,2.69E+01,2.69E+01
315,-1.07E+01,-1.23E+01,2.80E+01,2.80E+01
316,-1.10E+01,-1.21E+01,2.91E+01,2.91E+01
317,-1.12E+01,-1.16E+01,3.02E+01,3.02E+01
318,-1.13E+01,-1.08E+01,3.12E+01,3.12E+01
319,-1.12E+01,-9.88E+00,3.20E+01,3.20E+01
320,-1.09E+01,-8.79E+00,3.25E+01,3.25E+01
321,-1.05E+01,-7.62E+00,3.27E+01,3.27E+01
322,-9.94E+00,-6.48E+00,3.26E+01,3.26E+01
323,-9.25E+00,-5.44E+00,3.21E+01,3.21E+01
324,-8.49E+00,-4.57E+00,3.14E+01,3.14E+01
325,-7.70E+00,-3.90E+00,3.05E+01,3.05E+01
326,-6.94E+00,-3.44E+00,2.95E+01,2.95E+01
327,-6.24E+00,-3.16E+00,2.84E+01,2.84E+01
328,-5.63E+00,-3.05E+00,2.73E+01,2.73E+01
329,-5.11E+00,-3.07E+00,2.62E+01,2.62E+01
330,-4.70E+00,-3.20E+00,2.51E+01,2.51E+01
331,-4.40E+00,-3.41E+00,2.40E+01,2.40E+01
332,-4.20E+00,-3.69E+00,2.31E+01,2.31E+01
333,-4.10E+00,-4.03E+00,2.21E+01,2.21E+01
334,-4.09E+00,-4.43E+00,2.13E+01,2.13E+01
335,-4.16E+00,-4.89E+00,2.05E+01,2.05E+01
336,-4.30E+00,-5.41E+00,1.98E+01,1.98E+01
337,-4.52E+00,-6.01E+00,1.92E+01,1.92E+01
338,-4.82E+00,-6.68E+00,1.88E+01,1.88E+01
339,-5.19E+00,-7.44E+00,1.84E+01,1.84E+01
340,-5.64E+00,-8.29E+00,1.82E+01,1.82E+01
341,-6.17E+00,-9.23E+00,1.82E+01,1.82E+01
342,-6.78E+00,-1.03E+01,1.83E+01,1.83E+01
343,-7.48E+00,-1.14E+01,1.87E+01,1.87E+01
344,-8.26E+00,-1.25E+01,1.94E+01,1.94E+01
345,-9.11E+00,-1.37E+01,2.05E+01,2.05E+01
346,-1.00E+01,-1.48E+01,2.19E+01,2.19E+01
347,-1.10E+01,-1.57E+01,2.37E+01,2.37E+01
348,-1.19E+01,-1.64E+01,2.59E+01,2.59E+01
349,-1.28E+01,-1.65E+01,2.84E+01,2.84E+01
350,-1.36E+01,-1.61E+01,3.11E+01,3.11E+01
351,-1.41E+01,-1.49E+01,3.38E+01,3.38E+01
352,-1.42E+01,-1.30E+01,3.62E+01,3.62E+01
353,-1.40E+01,-1.04E+01,3.80E+01,3.80E+01
354,-1.33E+01,-7.40E+00,3.89E+01,3.89E+01
355,-1.21E+01,-4.37E+00,3.88E+01,3.88E+01
356,-1.06E+01,-1.67E+00,3.78E+01,3.78E+01
357,-8.78E+00,4.21E-01,3.61E+01,3.61E+01
358,-6.94E+00,1.83E+00,3.41E+01,3.41E+01
359,-5.18E+00,2.64E+00,3.20E+01,3.20E+01
360,-3.62E+00,3.01E+00,3.00E+01,3.00E+01
361,-2.29E+00,3.10E+00,2.82E+01,2.82E+01
362,-1.22E+00,3.04E+00,2.66E+01,2.66E+01
363,-3.63E-01,2.95E+00,2.51E+01,2.51E+01
